Entity,PED_NO
21st Century Public Academy,580-001
ABQ Charter Academy,001-090
ACE Leadership High School,001-749
ACES Technical Charter School,579-001
Academy For Technology & Classics,071-024
Alamogordo Public Schools,046-000
Albuquerque Aviation Academy,544-001
Albuquerque Bilingual Academy,528-001
Albuquerque Collegiate Charter School,574-001
Albuquerque Institute for Math and Science,001-746
Albuquerque Public Schools,001-000
Albuquerque School of Excellence,516-001
Albuquerque Sign Language Academy,517-001
Albuquerque Talent Development Charter,001-016
Aldo Leopold Charter School,532-001
Alice King Community School,001-116
Alma D'Arte Charter High School,511-001
Altura Preparatory School,575-001
Amy Biehl Charter High School,525-001
Anansi Charter School,076-006
Animas Public Schools,030-000
Artesia Public Schools,022-000
Aztec Municipal School District,064-000
Belen Consolidated Schools,087-000
Bernalillo Public School,061-000
Bloomfield Schools,066-000
Capitan Municipal Schools,040-000
Carlsbad Municipal Schools,020-000
Carrizozo Municipal Schools,037-000
Central Consolidated Schools,067-000
Central REC #5,993-000
Cesar Chavez Community School,512-001
Chama Valley Independent School,053-000
Christine Duncan Heritage Academy,001-118
Cien Aguas International,001-780
Cimarron Municipal Schools,008-000
Clayton Municipal Schools,084-000
Cloudcroft Municipal Schools,048-000
Clovis Municipal Schools,012-000
Cobre Consolidate Schools,024-000
Coral Community Charter,001-706
Corona Public Schools,038-000
Corrales International,001-028
Cottonwood Classical Preparatory School,502-001
Cottonwood Valley Charter,074-003
Cuba Independent Schools,062-000
DES MOINES MUNICIPAL SCHOOLS,085-000
Deming Cesar Chavez,042-006
Deming Public Schools,042-000
Dexter Consolidated School District,006-000
Digital Arts and Technology Academy,001-063
Dora Consolidated School,060-000
Dream Dine' Charter School,559-001
Dulce Independent Schools,054-000
Dzil Dit L'ooi School of Empowerment & Perseverance,562-001
East Mountain High School,001-024
El Camino Real Academy,001-069
Elida Municipal Schools,058-000
Equip Academy of New Mexico,588-001
Espanola Public School District,055-000
Estancia Municipal Schools,080-000
Estancia Valley Classical Academy,550-001
Eunice Public Schools,032-000
Explore Academy,557-001
Explore Academy - Las Cruces,581-001
Explore Academy - Rio Rancho,586-001
Farmington Municipal Schools,065-000
Floyd Municipal School District,059-000
Fort Sumner Municipal Schools,016-000
Four Corners Regional Education Cooperative #1,989-000
Gadsden Independent Schools,019-000
Gallup-McKinley County Schools,043-000
Gilbert L Sena Charter Hs,001-707
Gordon Bernell Charter,001-030
Grady Municipal Schools,015-000
Grants Cibola County School District,088-000
Hagerman Municipal Schools,005-000
Hatch Valley Public School District,018-000
Health Leadership High School,001-752
High Plains Regional Education Coop #3,991-000
Hobbs Municipal Schools,033-000
Hondo Valley Schools,039-000
Horizon Academy West,503-001
House Municipal Schools,050-000
Hozho Academy,573-001
Independent School District No 1,002-000
J Paul Taylor Academy,535-001
Jal Public Schools,034-000
Jefferson Montessori,020-001
Jemez Mountain School District,056-000
Jemez Valley Public Schools,063-000
La Academia Dolores Huerta,560-001
La Academia de Esperanza,001-061
Lake Arthur Municipal Schools,007-000
Las Cruces School District,017-000
Las Montanas Charter HS,567-001
Las Vegas City Schools,069-000
Logan Municipal Schools,051-000
Lordsburg Municipal Schools,029-000
Los Alamos Public Schools,041-000
Los Lunas Schools,086-000
Los Puentes Charter,001-017
Loving Municipal Schools,021-000
Lovington Municipal Schools,031-000
MASTERS Program,519-001
Magdalena Municipal Schools,075-000
Mark Armijo Academy,001-039
Maxwell Municipal School,011-000
McCurdy Charter School,547-001
Melrose Municipal Schools,014-000
Mesa Vista Consolidated Schools,078-000
Middle College High School,578-001
Mission Achievement & Success Charter,542-001
Monte Del Sol Charter School,564-001
Montessori Elementary School,529-001
Montessori of the Rio Grande,001-095
Mora Independent Schools,044-000
Moreno Valley High,008-003
Moriarty Edgewood School District,081-000
Mosaic Academy Charter,064-001
Mosquero Municipal Schools,028-000
Mountain Mahogany Community School,001-098
Mountainair Public Schools,082-000
Native American Community Academy,001-006
New America School,001-708
New America School Las Cruces,549-001
New Mexico Academy for the Media Arts,501-001
New Mexico Connections Academy,554-001
New Mexico International School,001-768
New Mexico School for the Arts,509-001
North Valley Academy,504-001
Northeast REC #4,992-000
Northwest Regional Education Cooperative #2,990-000
Pecos Cyber Academy,584-001
Pecos Independent  Schools,070-000
Pecos Valley Regional Education Cooperative #8,997-000
Penasco Independent School,077-000
Pojoaque Valley Schools,072-000
Portales Municipal Schools,057-000
Public Academy for Performing Arts,001-047
Quemado Independent School District,003-000
Questa Independent Schools,079-000
Raices Del Saber Xinachtli Comm School,577-001
Raton Public Schools,009-000
Red River Valley Charter School,539-001
Region IX Education Cooperative,998-000
Regional Education Cooperative #6,994-000
Regional Education Cooperative #7,995-000
Rio Gallinas School,068-004
Rio Grande Academy of Fine Arts,583-001
Rio Rancho Public Schools,083-000
Robert F. Kennedy Charter,001-051
Roots and Wings Community Charter,570-001
Roswell Independent School District,004-000
Roy Municipal Schools,027-000
Ruidoso Municipal Schools,036-000
Sacramento School of Engineering and Science,589-001
San Diego Riverside School,587-001
San Jon Municipal Schools,052-000
Sandoval Academy of Bilingual Education,563-001
Santa Fe Public Schools,071-000
Santa Rosa Consolidated Schools,025-000
School of Dreams Academy,505-001
Sidney Gutierrez Middle,004-009
Siembra Leadership High School,001-750
Silver City Consolidated Schools,023-000
Six Directions Indigenous School,568-001
Socorro Consolidated Schools,074-000
Solare Collegiate Charter School,576-001
South Valley Academy,001-025
South Valley Preparatory School,515-001
Southwest Preparatory Learning Center,530-001
Southwest Regional Education Cooperative #10,999-000
Southwest Secondary Learning,531-001
Springer Municipal Schools,010-000
Sun Mountain Community School (Santa Fe),590-001
T or C Municipal Schools,073-000
THRIVE Community School,582-001
Taos Academy,510-001
Taos Integrated School of the Arts,521-001
Taos International School,555-001
Taos Municipal Charter,076-005
Taos Municipal Schools,076-000
Tatum Municipal Schools,035-000
Technology Leadership High School,001-753
Texico Municipal Schools,013-000
The ASK Academy,520-001
The Great Academy,536-001
The International School at Mesa Del Sol,001-781
Tierra Adentro of New Mexico,518-001
Tierra Encantada Charter School,565-001
Tucumcari Public Schools,049-000
Tularosa Municipal Schools,047-000
Turquoise Trail Charter School,566-001
Vaughn Municipal Schools,026-000
Vista Grande High School,585-001
Voz Collegiate Preparatory Charter School,001-709
Wagon Mound Public Schools,045-000
Walatowa Charter High School,552-001
West Las Vegas School District,068-000
Zuni Public School District,089-000
