Fund,Function,Object,Program,JobClass,Part II,PartII-Total,Part III,Part IV,Part X 1  to 4,Part X 5 to 8,Part X 9 to 13,Part XI,Part XII line 1,Part XII line 2,Part XII line 3,Part XII line 4,Part XII line 5,Part XIII line 1,Part XIII line 2-8,AE3,Part XIII line 10-16,Part XIII Line 18,Part XIII Line 19-25,Part XIII Line 26-27,Part XIII Line 28-29,Part VI
11000,1000,51100,0,1416,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,0,1610,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,0,1611,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,0,1612,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,0,1613,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1411,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1412,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1413,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1414,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1415,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1416,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1422,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1610,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1611,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1612,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1613,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1621,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1622,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1624,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1711,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1713,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1010,1714,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1411,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1413,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1416,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1422,Z33,E13,,,Z32,Z35,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1621,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1622,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1624,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,1020,1711,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,2000,1412,Z33,E13,,,Z32,Z36,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,2000,1422,Z33,E13,,,Z32,Z36,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,2000,1621,Z33,E13,,,Z32,,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,2000,1711,Z33,E13,,,Z32,,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,2000,1712,Z33,E13,,,Z32,,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,2000,1713,Z33,E13,,,Z32,,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,2000,1714,Z33,E13,,,Z32,,,CE1,SE1,SE2,,,,,,,,,,,,
11000,1000,51100,3000,1415,Z33,E13,,,Z32,Z37,,CE1,,,,,,,,,,,,,,
11000,1000,51100,3000,1624,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,3000,1711,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,3000,1713,Z33,E13,,,Z32,,,CE1,,,,,,,,,,,,,,
11000,1000,51100,4010,1411,Z33,E13,,,Z32,Z38,,CE1,,,,,,,,,,,,,,
11000,1000,51100,4010,1413,Z33,E13,,,Z32,Z38,,CE1,,,,,,,,,,,,,,
11000,1000,51100,4010,1414,Z33,E13,,,Z32,Z38,,CE1,,,,,,,,,,,,,,
11000,1000,51100,4010,1416,Z33,E13,,,Z32,Z38,,CE1,,,,,,,,,,,,,,
