Fund,Object,Part I,Part XIII line 1,"Part XIII line 2, 3",Part XIII line 4,Part IX
11000,41110,T06,,,,
11000,41113,T06,,,,
11000,41114,T06,,,,
11000,41280,C13,,,,
11000,41310,A07,,,,
11000,41500,U22,,,,
11000,41510,U22,,,,
11000,41520,U22,,,,
11000,41532,U22,,,,
11000,41701,A13,,,,
11000,41702,A13,,,,
11000,41705,A13,,,,
11000,41706,A13,,,,
11000,41910,A40,,,,
11000,41911,A40,,,,
11000,41920,U50,,,,
11000,41921,U50,,,,
11000,41922,U50,,,,
11000,41923,U50,,,,
11000,41924,,,,,
11000,41953,U97,,,,
11000,41955,U97,,,,
11000,41980,C13,,,,
11000,43101,C01,,,,
11000,43104,C13,,,,
11000,43120,C13,,,,
11000,43202,C13,,,,
11000,43208,C13,,,,
11000,43212,C13,,,,
11000,43213,C13,,,,
11000,43214,C13,,,,
11000,43215,C13,,,,
11000,43216,C13,,,,
11000,44103,B10,,,,
11000,44107,B13,,,,
11000,44108,B13,,,,
11000,44204,U97,,,,
11000,44205,C20,,,,
11000,44709,B13,,,,
11000,45303,U11,,,,
11000,45304,U11,,,,
11000,46100,C20,,,,
11000,46300,U97,,,,
11000,46400,U97,,,,
12000,41500,U22,,,,
12000,41510,U22,,,,
12000,41520,U22,,,,
12000,41540,U22,,,,
12000,41910,A40,,,,
12000,41953,U97,,,,
12000,41980,U97,,,,
13000,41510,U22,,,,
13000,41520,U22,,,,
13000,41500,U22,,,,
13000,41953,U97,,,,
13000,41980,C12,,,,
13000,43104,C12,,,,
13000,43202,C12,,,,
13000,43206,C12,,,,
13000,45303,U11,,,,
13000,45304,C12,,,,
14000,41500,U22,,,,
14000,41510,U22,,,,
14000,41953,U97,,,,
14000,41980,C13,,,,
14000,43202,C13,,,,
15100,41500,U22,,,,
15100,41510,U22,,,,
15100,41532,U22,,,,
15100,41980,B10,,,,
15100,44103,B10,,,,
15200,41110,T06,,,,
15200,41113,T06,,,,
15200,41114,T06,,,,
15200,41280,U97,,,,
15200,41500,U22,,,,
15200,41510,U22,,,,
15200,41520,U22,,,,
15200,44204,U97,,,,
21000,41500,U22,,,,
21000,41510,U22,,,,
21000,41520,U22,,,,
21000,41603,A09,,,,
21000,41604,A09,,,,
21000,41605,A09,,,,
21000,41920,U50,,,,
21000,41953,U97,,,,
21000,41980,C25,,,,
21000,43203,C10,,,,
